dataset_name,drop_edge_prob,seed,model_name,best_val_epoch,best_val_acc,test_acc_best_val,test_acc
Age,1,0,Exphormer,45,50.94,53.27,52.34
Age,1,100,Exphormer,21,46.23,51.4,47.66
Age,1,500,Exphormer,43,53.77,42.06,42.06
Activity,1,0,Exphormer,90,97.58,97.05,97.18
Activity,1,100,Exphormer,65,98.12,97.45,97.58
Activity,1,500,Exphormer,43,98.66,97.45,98.12
Gender,0.5,0,Exphormer,45,82.41,81.48,81.48
Gender,0.5,100,Exphormer,10,87.04,73.15,78.71
Gender,0.5,500,Exphormer,44,80.56,81.48,79.64
Age,0.5,0,Exphormer,30,54.72,48.6,52.34
Age,0.5,100,Exphormer,7,45.28,53.27,49.53
Age,0.5,500,Exphormer,63,55.66,41.12,46.73
Activity,0.5,0,Exphormer,84,97.71,96.51,96.64
Activity,0.5,100,Exphormer,76,97.58,97.45,97.99
Activity,0.5,500,Exphormer,72,98.66,97.72,97.58
Gender,1,0,NeuroGraph,93,88.89,90.74,85.19
Gender,1,1,NeuroGraph,95,87.96,90.28,85.65
Gender,1,2,NeuroGraph,88,87.04,90.28,88.89
Age,1,0,NeuroGraph,90,50.47,53.99,52.11
Age,1,1,NeuroGraph,55,53.27,53.99,52.11
Age,1,2,NeuroGraph,72,55.14,53.52,52.11
Activity,1,0,NeuroGraph,88,97.85,98.46,97.72
Activity,1,1,NeuroGraph,96,97.58,98.19,97.85
Activity,1,2,NeuroGraph,98,97.45,98.25,97.72
Gender,0.5,0,NeuroGraph,49,87.04,89.35,83.33
Gender,0.5,1,NeuroGraph,83,87.96,88.43,86.11
Gender,0.5,2,NeuroGraph,56,88.89,89.81,83.33
Age,0.5,0,NeuroGraph,89,55.14,53.52,51.17
Age,0.5,1,NeuroGraph,82,54.21,53.52,49.77
Age,0.5,2,NeuroGraph,96,57.01,53.05,50.23
